sample,link
TCGA-85-8664,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-85-8664-01Z-00-DX1"">TCGA-85-8664-01Z-00-DX1</a>"
TCGA-85-A511,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-85-A511-01Z-00-DX1"">TCGA-85-A511-01Z-00-DX1</a>"
TCGA-86-7713,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-86-7713-01Z-00-DX1"">TCGA-86-7713-01Z-00-DX1</a>"
TCGA-86-8073,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-86-8073-01Z-00-DX1"">TCGA-86-8073-01Z-00-DX1</a>"
TCGA-86-8075,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-86-8075-01Z-00-DX1"">TCGA-86-8075-01Z-00-DX1</a>"
TCGA-86-8359,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-86-8359-01Z-00-DX1"">TCGA-86-8359-01Z-00-DX1</a>"
TCGA-86-8585,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-86-8585-01Z-00-DX1"">TCGA-86-8585-01Z-00-DX1</a>"
TCGA-86-A456,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-86-A456-01Z-00-DX1"">TCGA-86-A456-01Z-00-DX1</a>"
TCGA-86-A4JF,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-86-A4JF-01Z-00-DX1"">TCGA-86-A4JF-01Z-00-DX1</a>"
TCGA-90-A4ED,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-90-A4ED-01Z-00-DX1"">TCGA-90-A4ED-01Z-00-DX1</a>"
TCGA-90-A4EE,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-90-A4EE-01Z-00-DX1"">TCGA-90-A4EE-01Z-00-DX1</a>"
TCGA-94-A5I4,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-94-A5I4-01Z-00-DX1"">TCGA-94-A5I4-01Z-00-DX1</a>"
TCGA-95-7948,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-95-7948-01Z-00-DX1"">TCGA-95-7948-01Z-00-DX1</a>"
TCGA-96-7545,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-96-7545-01Z-00-DX1"">TCGA-96-7545-01Z-00-DX1</a>"
TCGA-96-8169,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-96-8169-01Z-00-DX1"">TCGA-96-8169-01Z-00-DX1</a>"
